OriginAirportID,DestAirportID,Delay
14843,11042,-35.5
12266,15024,-34.75
14027,12266,-33.5
15024,12264,-31.5
13487,12451,-30.0
13871,14057,-29.64516129032258
13204,14057,-26.677419354838708
14679,12758,-26.666666666666668
14730,14771,-26.0
11433,12451,-26.0
10994,14747,-25.11111111111111
14150,10333,-24.545454545454547
11122,11292,-23.666666666666668
12003,11292,-23.333333333333332
13930,13830,-23.0
15096,11697,-22.5
11292,13830,-21.875
11292,12982,-21.75
13930,12173,-21.483870967741936
14679,12982,-21.333333333333332
15027,11057,-21.25
11278,10154,-21.0
10713,12266,-20.8
11278,14747,-20.704918032786885
14683,11618,-20.64516129032258
12264,15024,-19.75
12945,13487,-19.322580645161292
11292,12173,-19.193548387096776
10423,14057,-18.93548387096774
13303,14869,-18.90909090909091
11618,12173,-18.64516129032258
12264,14869,-18.23076923076923
11618,14831,-18.080645161290324
11042,14843,-18.0
14843,12191,-18.0
13342,14100,-17.923076923076923
11618,14986,-17.75
11865,14869,-17.741935483870968
10299,13487,-17.641025641025642
11630,13487,-17.615384615384617
12266,14843,-17.5531914893617
13367,13487,-17.5
14843,12264,-17.375
10599,11433,-17.23076923076923
11292,12003,-17.0
12266,14831,-16.933333333333334
11618,15024,-16.875
14683,11433,-16.774193548387096
11447,12519,-16.677419354838708
14635,12266,-16.67391304347826
11267,11292,-16.6
14869,13303,-16.59090909090909
11097,11292,-16.333333333333332
12266,14027,-16.0
14986,13930,-15.5
13830,14057,-15.375
10299,13930,-15.225806451612904
11921,14107,-15.140625
14057,15016,-15.058823529411764
14457,11292,-15.05
13487,13303,-15.049180327868852
14543,11292,-15.03448275862069
12451,13487,-15.0
12173,12264,-14.909090909090908
11697,12264,-14.875
14489,14869,-14.816666666666666
14698,14747,-14.806451612903226
14794,14107,-14.790322580645162
13342,14679,-14.777777777777779
14057,14100,-14.7
10529,13303,-14.612903225806452
15376,13232,-14.516129032258064
12264,14843,-14.5
13487,14908,-14.465909090909092
12478,14570,-14.454545454545455
10299,12173,-14.451612903225806
13198,14869,-14.370967741935484
14683,14771,-14.32258064516129
14252,13487,-14.3
12264,11697,-14.290322580645162
12339,14771,-14.258064516129032
10529,11292,-14.14516129032258
11292,12094,-14.125
13296,13930,-14.096153846153847
13487,10423,-14.092105263157896
12889,10299,-14.083333333333334
14262,11292,-14.0
11292,11122,-14.0
14831,12982,-14.0
10397,15356,-13.96774193548387
12441,11292,-13.87719298245614
13495,14492,-13.875
11278,12266,-13.798076923076923
12266,12173,-13.741935483870968
12898,13204,-13.709677419354838
13930,14457,-13.666666666666666
10721,14730,-13.5
13487,14262,-13.5
14683,14747,-13.451612903225806
15304,10158,-13.32258064516129
13871,13204,-13.25
12982,11292,-13.25
15024,11618,-13.25
14107,14794,-13.129032258064516
14869,11193,-13.129032258064516
14057,13830,-13.0625
15024,10721,-13.0
12323,14100,-13.0
14570,12478,-13.0
13487,12335,-12.903225806451612
14908,12266,-12.9
14747,13495,-12.838709677419354
10279,12266,-12.818181818181818
13487,11697,-12.807692307692308
14222,12173,-12.777777777777779
14252,14869,-12.758620689655173
13930,14193,-12.742857142857142
10140,13487,-12.73076923076923
14679,13830,-12.714285714285714
13796,12478,-12.703703703703704
14869,11525,-12.701754385964913
15024,13303,-12.662921348314606
13871,12191,-12.612903225806452
13486,13487,-12.454545454545455
13487,13244,-12.451612903225806
13487,12129,-12.38888888888889
14057,12264,-12.387096774193548
12156,11292,-12.387096774193548
14893,12264,-12.290322580645162
14057,12266,-12.278688524590164
13204,14747,-12.219780219780219
13931,12266,-12.161290322580646
14683,14100,-12.153846153846153
11423,10397,-12.146067415730338
13487,12389,-12.016666666666667
14635,14307,-12.0
11292,11097,-12.0
14100,12323,-12.0
12896,11292,-11.909090909090908
14831,12266,-11.833333333333334
12266,10994,-11.80327868852459
14831,12758,-11.785714285714286
12523,12819,-11.703703703703704
13344,13930,-11.672413793103448
14683,14869,-11.64516129032258
14747,14698,-11.580645161290322
11122,14869,-11.491525423728813
12217,12266,-11.487804878048781
10849,13487,-11.46774193548387
15376,13487,-11.451612903225806
14730,14107,-11.4375
11042,12266,-11.402298850574713
13487,12945,-11.387096774193548
14057,12173,-11.387096774193548
13198,14683,-11.387096774193548
13127,14869,-11.383333333333333
13487,10141,-11.35483870967742
13487,14683,-11.34375
14570,13930,-11.333333333333334
11292,12896,-11.3
14683,12478,-11.266666666666667
15024,10397,-11.181818181818182
14492,15356,-11.166666666666666
10397,12173,-11.161290322580646
12819,12523,-11.148148148148149
14570,13232,-11.129032258064516
10713,14679,-11.128205128205128
13871,14747,-11.096774193548388
13487,13459,-11.096774193548388
14869,11921,-11.045454545454545
11413,11292,-11.038461538461538
13485,14869,-11.038461538461538
10135,11433,-11.028571428571428
11433,10577,-11.0
12265,13577,-11.0
11433,13230,-11.0
13232,14831,-11.0
12177,12266,-10.982142857142858
12266,14057,-10.982142857142858
11986,12266,-10.96774193548387
11433,14108,-10.954545454545455
11042,11292,-10.909090909090908
15919,11193,-10.875
13158,11292,-10.868852459016393
11433,14679,-10.842105263157896
13930,10140,-10.833333333333334
10713,14057,-10.806451612903226
10849,14869,-10.795454545454545
15389,14869,-10.767441860465116
15024,12266,-10.75
13342,11259,-10.741935483870968
13303,13487,-10.721311475409836
14100,11259,-10.67741935483871
13296,11433,-10.571428571428571
11865,11292,-10.5
12982,14747,-10.483870967741936
14122,11292,-10.479674796747968
12389,13487,-10.466666666666667
11433,10333,-10.451612903225806
11292,11865,-10.448275862068966
12003,14869,-10.447058823529412
15376,14107,-10.370967741935484
11648,14869,-10.348314606741573
11433,13459,-10.31578947368421
13891,14869,-10.298850574712644
12758,14107,-10.285714285714286
13873,10299,-10.280701754385966
13487,14252,-10.266666666666667
14747,12982,-10.258064516129032
13342,11697,-10.25
12003,13487,-10.193548387096774
13487,13184,-10.192307692307692
14100,13342,-10.153846153846153
12339,14747,-10.142857142857142
14122,13577,-10.142857142857142
13256,12266,-10.097345132743364
14893,13830,-10.064516129032258
14783,11292,-10.057142857142857
13230,11433,-10.052631578947368
13342,14747,-10.0
12265,11697,-10.0
11292,12888,-10.0
11630,10299,-9.983870967741936
14122,11298,-9.975609756097562
14747,14689,-9.96774193548387
13871,14869,-9.964912280701755
13487,14869,-9.954802259887005
14709,10754,-9.950819672131148
14679,14100,-9.950819672131148
14193,13930,-9.942857142857143
10849,14057,-9.928571428571429
10397,10140,-9.919354838709678
13296,13232,-9.875
14869,14492,-9.870967741935484
14869,11603,-9.85
12264,13931,-9.838709677419354
10713,11298,-9.838709677419354
11433,10423,-9.83529411764706
12343,13487,-9.807692307692308
11097,14869,-9.806451612903226
14100,14057,-9.777777777777779
12992,11292,-9.767441860465116
13232,14193,-9.75
14570,11259,-9.75
14679,13487,-9.728070175438596
14869,14262,-9.721311475409836
11292,11267,-9.714285714285714
13487,10529,-9.639344262295081
13476,14107,-9.592592592592593
10529,12889,-9.580645161290322
13487,14679,-9.570175438596491
14869,14908,-9.52027027027027
13577,13930,-9.516129032258064
10299,12889,-9.5
10140,14057,-9.5
14057,10140,-9.5
13244,11433,-9.482758620689655
14869,11097,-9.46774193548387
13244,12892,-9.428571428571429
14869,13127,-9.416666666666666
13487,13495,-9.387096774193548
11066,11292,-9.385416666666666
12451,14100,-9.350877192982455
10135,13930,-9.333333333333334
13487,12278,-9.325301204819278
