OriginAirportID,DestAirportID,Delay
14635,11292,-36.0
14986,13930,-29.0
15041,14771,-27.666666666666668
12264,10994,-27.333333333333332
13931,12478,-27.0
11503,12892,-25.0
12889,10299,-24.5
12953,10431,-23.666666666666668
11618,10434,-23.0
14193,13232,-22.75
15919,14771,-22.7
10994,14747,-22.529411764705884
10792,11292,-22.333333333333332
14100,15497,-21.9375
14683,11618,-21.9
15027,11057,-21.75
11292,10257,-21.666666666666668
12323,11057,-20.433333333333334
11097,11292,-20.3
10721,15024,-20.0
12264,10423,-19.954545454545453
13851,14747,-19.666666666666668
11648,10397,-19.333333333333332
10849,13930,-19.266666666666666
14747,10994,-19.11764705882353
13891,12266,-19.047619047619047
12478,13931,-19.0
10434,11618,-19.0
14262,14057,-18.875
12266,10849,-18.0
15096,11618,-18.0
15024,10397,-17.84375
11413,12892,-17.75
12441,14771,-17.666666666666668
13930,13486,-17.333333333333332
14307,14635,-17.0
11298,12896,-17.0
14679,11433,-16.91358024691358
13076,13487,-16.869565217391305
14747,11278,-16.85
14893,12173,-16.8
14843,11042,-16.75
10397,15027,-16.75
12173,10666,-16.666666666666668
10666,12173,-16.25
12335,14520,-16.115384615384617
14100,14683,-16.0
14570,12266,-16.0
14492,12266,-15.882352941176471
14679,12758,-15.823529411764707
14222,12173,-15.76923076923077
13931,11292,-15.666666666666666
15370,14869,-15.416666666666666
12451,12889,-15.379310344827585
14057,11433,-15.178571428571429
10994,11042,-15.0
13232,14193,-15.0
14321,13232,-15.0
11292,10792,-15.0
10529,14635,-15.0
14150,11433,-15.0
11503,12266,-15.0
14679,13830,-14.853658536585366
15356,14635,-14.846153846153847
10299,12173,-14.766666666666667
10257,11292,-14.666666666666666
13930,10849,-14.625
12478,11433,-14.533333333333333
11433,14679,-14.469135802469136
11193,13244,-14.333333333333334
10397,11648,-14.333333333333334
14747,13204,-14.25301204819277
10408,11433,-14.052631578947368
13342,14100,-14.0
10849,12953,-14.0
10693,14771,-14.0
14843,12266,-13.776119402985074
12441,13487,-13.75
12889,10666,-13.75
14057,10397,-13.7
13495,14771,-13.5
12982,14831,-13.470588235294118
11977,11433,-13.4
15027,10397,-13.25
14108,11433,-13.25
14520,12335,-13.23076923076923
11865,11292,-13.214285714285714
13204,14679,-13.196078431372548
14057,11278,-13.166666666666666
14635,12266,-13.117647058823529
11259,10994,-13.1
14831,12758,-13.083333333333334
13487,10469,-13.0
12898,11697,-12.714285714285714
13796,13930,-12.666666666666666
14683,14771,-12.633333333333333
13476,14107,-12.6
12003,13930,-12.5
12266,14570,-12.5
11433,14683,-12.352941176470589
11259,14193,-12.333333333333334
11292,11995,-12.23076923076923
11013,11433,-12.142857142857142
14683,14747,-12.033333333333333
10713,14057,-12.033333333333333
11298,13290,-12.0
11267,11292,-12.0
12173,12264,-12.0
13204,10874,-12.0
14709,10299,-11.9375
14100,13342,-11.923076923076923
11003,13487,-11.902439024390244
12441,10397,-11.88888888888889
13342,11697,-11.866666666666667
14869,11433,-11.833333333333334
13830,14679,-11.829268292682928
14057,11042,-11.76923076923077
11433,14057,-11.75
12992,14107,-11.7
15380,11433,-11.555555555555555
14057,13487,-11.53551912568306
14122,15016,-11.533333333333333
10779,14869,-11.464285714285714
12156,11292,-11.433333333333334
14576,11433,-11.421052631578947
10408,10397,-11.40625
10874,13204,-11.333333333333334
13485,11433,-11.324503311258278
10994,11057,-11.307692307692308
10299,14771,-11.28
15376,14057,-11.25
11986,11433,-11.236220472440944
14747,14492,-11.233333333333333
13296,13204,-11.170731707317072
10140,14771,-11.066666666666666
14588,11298,-11.0
14193,13198,-11.0
14262,14747,-10.954545454545455
11618,12173,-10.933333333333334
13930,11612,-10.924050632911392
12451,11292,-10.866666666666667
12945,12953,-10.857142857142858
10434,10397,-10.8
11298,14588,-10.75
14771,11193,-10.72972972972973
14869,10779,-10.696428571428571
13891,14869,-10.651162790697674
13244,12892,-10.615384615384615
14683,13303,-10.6
13184,11433,-10.595238095238095
13198,11433,-10.582733812949641
11267,11433,-10.573170731707316
14747,11433,-10.56338028169014
14492,14771,-10.55
12173,14222,-10.538461538461538
13198,14869,-10.526315789473685
11042,15016,-10.5
13485,14869,-10.48
14893,12264,-10.466666666666667
12478,14635,-10.466666666666667
10821,14771,-10.466666666666667
10423,11433,-10.456140350877194
11721,13487,-10.431818181818182
12339,14771,-10.424242424242424
14696,11618,-10.4
14107,12264,-10.333333333333334
13342,14679,-10.333333333333334
14831,13487,-10.31578947368421
14057,10721,-10.205479452054794
13296,10397,-10.2
11823,11433,-10.163461538461538
13871,11278,-10.133333333333333
13487,15304,-10.133333333333333
14057,10849,-10.115384615384615
10721,14679,-10.102272727272727
14057,12173,-10.044776119402986
12898,13577,-10.0
11193,13198,-10.0
13495,11433,-9.989247311827956
10713,13930,-9.983333333333333
14747,12173,-9.893333333333333
14747,12982,-9.886363636363637
11995,13930,-9.818181818181818
10792,15304,-9.783783783783784
13487,12278,-9.777777777777779
14635,15356,-9.76923076923077
12266,11503,-9.75
14122,14635,-9.735294117647058
14150,10333,-9.73076923076923
13871,14869,-9.72972972972973
11697,15356,-9.705882352941176
12982,14679,-9.689655172413794
13342,11433,-9.655913978494624
12339,14869,-9.636363636363637
14843,12264,-9.625
15070,11697,-9.6
11193,11697,-9.583333333333334
10599,11433,-9.565217391304348
11884,13487,-9.531645569620252
12478,13541,-9.52
14576,13204,-9.5
13970,10299,-9.470588235294118
11721,13930,-9.45
14730,11433,-9.441176470588236
15356,15304,-9.384615384615385
11433,10408,-9.339285714285714
11433,11013,-9.339285714285714
11433,14027,-9.333333333333334
14457,10397,-9.333333333333334
14771,12441,-9.333333333333334
13486,13930,-9.333333333333334
13204,14747,-9.325301204819278
13930,10469,-9.290697674418604
14814,11292,-9.241379310344827
10372,14771,-9.238095238095237
12266,13502,-9.227272727272727
10529,11292,-9.222222222222221
12156,13487,-9.214285714285714
15024,14843,-9.21311475409836
11775,10397,-9.206896551724139
12448,13930,-9.150943396226415
12758,13796,-9.136363636363637
14057,13198,-9.133333333333333
10372,12892,-9.11111111111111
11292,14814,-9.10344827586207
14747,11109,-9.033333333333333
10397,14831,-9.024390243902438
15370,13303,-9.0
10721,10154,-9.0
14576,10397,-9.0
12012,12266,-9.0
10792,14107,-8.9
14679,10721,-8.818181818181818
10990,12953,-8.76923076923077
11109,10397,-8.75
13930,11471,-8.714285714285714
13930,11995,-8.6875
14869,13127,-8.666666666666666
13244,11193,-8.666666666666666
13232,10713,-8.653846153846153
13184,13930,-8.616279069767442
11298,13796,-8.566666666666666
15370,12889,-8.566666666666666
10631,13487,-8.5
10666,12889,-8.5
14869,13891,-8.5
13198,11193,-8.5
10333,14150,-8.461538461538462
14843,10397,-8.443548387096774
12992,11433,-8.428571428571429
15096,11433,-8.418181818181818
14543,11292,-8.410714285714286
12982,14747,-8.409090909090908
10397,12173,-8.4
13487,11697,-8.344827586206897
13577,11298,-8.307692307692308
13264,14869,-8.283333333333333
11042,12266,-8.277777777777779
14893,13830,-8.266666666666667
15096,13204,-8.233333333333333
14262,14869,-8.2
14256,12523,-8.1
14730,14107,-8.066666666666666
14524,12266,-8.066666666666666
11433,13198,-8.057553956834532
14771,11433,-8.031496062992126
14747,10666,-8.0
15024,10721,-8.0
10397,10849,-8.0
10245,10299,-7.961538461538462
11540,11292,-7.95
14709,10754,-7.883333333333334
14696,13487,-7.85
11433,14108,-7.85
10141,13487,-7.833333333333333
14307,11433,-7.825581395348837
10754,10299,-7.8
11697,13342,-7.8
10620,14869,-7.773584905660377
12892,11503,-7.75
10994,12264,-7.666666666666667
10299,14869,-7.62962962962963
13930,11721,-7.6125
12173,12016,-7.6
14869,13198,-7.5964912280701755
10299,11630,-7.566666666666666
14492,14747,-7.566666666666666
13502,12266,-7.545454545454546
10721,13577,-7.533333333333333
14122,10693,-7.533333333333333
14747,12758,-7.513513513513513
13930,14986,-7.5
12016,12173,-7.5
11618,15096,-7.5
14057,15376,-7.5
15389,14869,-7.488372093023256
14831,12982,-7.444444444444445
13851,14869,-7.428571428571429
15016,14869,-7.4035087719298245
14869,13485,-7.4
14057,12264,-7.4
10561,11292,-7.392857142857143
10561,14107,-7.379310344827586
11433,11697,-7.372950819672131
13198,14679,-7.3559322033898304
10800,11259,-7.346153846153846
14771,10821,-7.333333333333333
10257,13232,-7.333333333333333
15380,10397,-7.333333333333333
14747,10397,-7.313131313131313
12173,14869,-7.3
13487,11721,-7.295454545454546
11193,12478,-7.285714285714286
11066,13796,-7.266666666666667
10279,11292,-7.261904761904762
13459,11433,-7.254237288135593
11884,11292,-7.252032520325203
11057,15027,-7.25
13891,14747,-7.247191011235955
14908,10397,-7.247191011235955
14057,11618,-7.233333333333333
13830,11292,-7.217391304347826
14633,10397,-7.2
10140,14869,-7.174418604651163
11986,13930,-7.166666666666667
13871,14057,-7.166666666666667
11042,14057,-7.153846153846154
12280,14869,-7.146551724137931
12343,13487,-7.136363636363637
13127,14869,-7.133333333333334
14730,11292,-7.125
10372,13930,-7.08
14869,14262,-7.066666666666666
10299,11292,-7.061224489795919
12003,14869,-7.0588235294117645
13830,14831,-7.05
14122,11433,-7.038461538461538
10140,13204,-7.037037037037037
12945,11433,-7.035714285714286
12156,14869,-7.023255813953488
10792,12889,-6.983333333333333
10599,11292,-6.933333333333334
10257,10397,-6.930232558139535
13930,10299,-6.923913043478261
15024,12266,-6.923076923076923
10792,13930,-6.913461538461538
13796,12758,-6.906976744186046
11481,12266,-6.88
14262,14107,-6.875598086124402
13433,11292,-6.857142857142857
10800,14747,-6.84
11140,12266,-6.833333333333333
14633,13487,-6.822222222222222
14869,13264,-6.816666666666666
10721,14107,-6.792857142857143
16218,14107,-6.772455089820359
13486,13487,-6.741935483870968
14057,10299,-6.737226277372263
14576,15304,-6.733333333333333
14869,12156,-6.732558139534884
14689,14107,-6.7
13487,14570,-6.666666666666667
11057,12339,-6.653846153846154
13930,12448,-6.625
13851,12892,-6.620689655172414
13198,12266,-6.614583333333333
14869,11097,-6.613207547169812
12982,13796,-6.6
11433,10469,-6.595744680851064
12819,12523,-6.576923076923077
11336,10299,-6.576923076923077
11267,13930,-6.5675675675675675
10257,12889,-6.566666666666666
10423,12264,-6.565217391304348
13930,14108,-6.553571428571429
13487,10423,-6.551724137931035
13930,10408,-6.54054054054054
10577,11433,-6.534883720930233
12523,10299,-6.530973451327434
14679,12264,-6.52808988764045
14635,10529,-6.5
13296,13232,-6.477777777777778
15016,14771,-6.433734939759036
10158,13577,-6.433333333333334
13495,14869,-6.4
14057,13232,-6.3977272727272725
12523,11997,-6.384615384615385
10397,14893,-6.381818181818182
10849,13487,-6.37037037037037
15991,12523,-6.366666666666666
14831,11057,-6.344827586206897
14057,15016,-6.321428571428571
12896,11292,-6.320754716981132
13851,10397,-6.31
11648,14869,-6.303370786516854
12889,11433,-6.2773722627737225
14683,12478,-6.266666666666667
11525,14869,-6.25
11603,11292,-6.203389830508475
12264,14843,-6.166666666666667
12758,14107,-6.133333333333334
12173,10299,-6.133333333333334
11292,11865,-6.125
12339,11697,-6.1
13830,14893,-6.1
14869,11122,-6.1
14869,11278,-6.084745762711864
14122,11292,-6.084615384615384
14747,14262,-6.0476190476190474
10423,13303,-6.04
11292,14635,-6.0
10397,14679,-5.994871794871795
13198,13303,-5.96
15356,13930,-5.9411764705882355
11298,13577,-5.923076923076923
10551,10299,-5.902439024390244
11122,11292,-5.89247311827957
10792,11057,-5.8807339449541285
14869,14457,-5.870967741935484
10257,11433,-5.866666666666666
10397,15024,-5.84375
14122,14107,-5.838709677419355
14828,12819,-5.833333333333333
15991,10926,-5.833333333333333
11638,14869,-5.831460674157303
14794,14869,-5.823529411764706
11292,13367,-5.818181818181818
13930,10434,-5.803571428571429
11003,10397,-5.791044776119403
11433,10599,-5.7727272727272725
11433,13303,-5.766666666666667
11042,14843,-5.75
11921,14869,-5.744186046511628
11066,12266,-5.735849056603773
14107,12758,-5.733333333333333
13485,13930,-5.7272727272727275
11986,10821,-5.666666666666667
14747,13487,-5.664259927797834
10434,11433,-5.6521739130434785
10299,10551,-5.646341463414634
11042,14635,-5.6
13487,12441,-5.6
11278,10154,-5.583333333333333
14027,11433,-5.566666666666666
11697,10257,-5.533333333333333
10299,14057,-5.522058823529412
11603,14869,-5.516129032258065
14256,15841,-5.5
13871,11433,-5.5
13970,13873,-5.5
14869,10693,-5.5
14771,10849,-5.48
12265,13577,-5.470588235294118
14843,11298,-5.466666666666667
14107,11413,-5.453488372093023
11433,14771,-5.448818897637795
13931,13487,-5.4
14100,11066,-5.384615384615385
13232,10140,-5.383333333333334
15304,11433,-5.372262773722627
14100,10529,-5.36
10397,14057,-5.3538461538461535
13796,13830,-5.35
10620,11292,-5.333333333333333
11433,12945,-5.321428571428571
12819,14747,-5.301136363636363
14321,13930,-5.3
10918,14869,-5.288461538461538
14107,11695,-5.270588235294118
12264,12889,-5.266666666666667
11193,12892,-5.260273972602739
14252,13487,-5.224489795918367
14696,10397,-5.206896551724138
13487,15919,-5.204081632653061
14057,12266,-5.2
13495,14747,-5.2
11193,14771,-5.162162162162162
10170,10299,-5.160714285714286
13796,12982,-5.151515151515151
10721,14122,-5.077586206896552
13367,11292,-5.071428571428571
14869,10620,-5.056603773584905
14683,13487,-5.052631578947368
13342,12889,-5.0510948905109485
11433,14150,-5.05
12523,14828,-5.048780487804878
11537,11433,-5.02054794520548
13487,12343,-5.0
12217,13930,-5.0
14771,12954,-4.988888888888889
11433,11267,-4.987804878048781
11292,12255,-4.980769230769231
10849,11292,-4.9714285714285715
13930,14027,-4.966666666666667
11921,11292,-4.961904761904762
14747,14869,-4.9602272727272725
15096,10397,-4.911111111111111
11433,13871,-4.91044776119403
12278,12889,-4.9
10685,11433,-4.888888888888889
14831,12266,-4.886363636363637
10529,14100,-4.88
12819,15841,-4.866666666666666
11618,13198,-4.857142857142857
11648,13930,-4.833333333333333
11618,13577,-4.823529411764706
10529,10397,-4.782828282828283
13244,11057,-4.769230769230769
14107,11638,-4.766666666666667
14107,12278,-4.766666666666667
11292,11413,-4.766666666666667
14679,10397,-4.757731958762887
13342,14107,-4.7560975609756095
12992,11292,-4.733333333333333
11697,13495,-4.732558139534884
14869,11921,-4.686046511627907
15016,11481,-4.676470588235294
14869,12191,-4.666666666666667
11042,10397,-4.664285714285715
10299,10170,-4.660714285714286
11203,13487,-4.657894736842105
10721,14057,-4.6438356164383565
14869,12280,-4.6173913043478265
15497,13930,-4.615384615384615
14869,11525,-4.607142857142857
10792,11697,-4.6
11630,10299,-4.6
12954,10299,-4.6
11433,13244,-4.576271186440678
12954,10721,-4.566666666666666
15841,14256,-4.566666666666666
12173,11292,-4.533333333333333
13487,14635,-4.533333333333333
11695,14107,-4.529411764705882
14307,13232,-4.522222222222222
12389,13487,-4.516666666666667
15096,13930,-4.507246376811594
13198,11697,-4.5
15497,14100,-4.5
12478,14685,-4.483870967741935
10693,14869,-4.466666666666667
14828,12523,-4.464285714285714
14893,13487,-4.446428571428571
11618,11986,-4.441558441558442
10397,14747,-4.438127090301004
14747,15304,-4.433333333333334
11447,12519,-4.423076923076923
13487,14696,-4.416666666666667
10926,10299,-4.4
12451,13232,-4.4
13931,11057,-4.392857142857143
12758,14831,-4.384615384615385
14635,15016,-4.382352941176471
14113,14869,-4.365853658536586
11252,10397,-4.3624161073825505
10721,11066,-4.357142857142857
13873,10299,-4.339285714285714
10792,13232,-4.327433628318584
10800,14057,-4.325842696629214
14771,13232,-4.325581395348837
13577,11697,-4.282051282051282
11433,10994,-4.28125
13930,14524,-4.268518518518518
10721,11433,-4.267647058823529
14869,15376,-4.265822784810126
10469,11433,-4.25
14843,10821,-4.216666666666667
13244,11433,-4.2
14843,15024,-4.183333333333334
10561,14771,-4.163636363636364
12278,12266,-4.161904761904762
13796,10821,-4.160714285714286
13487,10631,-4.15
11433,11612,-4.131578947368421
14006,13930,-4.125
13930,11146,-4.11864406779661
12278,15016,-4.107142857142857
14696,11433,-4.098484848484849
11433,11066,-4.09433962264151
14057,13830,-4.085106382978723
14683,14869,-4.033333333333333
13232,14908,-4.033333333333333
11433,13342,-4.026881720430108
12206,12266,-4.011363636363637
12451,12266,-4.0
10713,12266,-4.0
11884,10299,-4.0
13487,12280,-4.0
14635,11193,-4.0
14683,15304,-4.0
10721,11193,-4.0
13244,11292,-4.0
10785,11433,-4.0
11292,12441,-3.9896907216494846
13871,14747,-3.966666666666667
11433,14869,-3.9583333333333335
10397,14908,-3.955056179775281
10721,13198,-3.9454545454545453
14492,12191,-3.933333333333333
12266,15024,-3.923076923076923
12884,11433,-3.9036144578313254
13342,15016,-3.9
13487,14831,-3.8947368421052633
11977,13487,-3.888888888888889
12266,11049,-3.8852459016393444
14869,12003,-3.8823529411764706
