OriginAirportID,DestAirportID,Delay
10299,12758,-51.42857142857143
10299,13830,-47.54545454545455
10299,12173,-44.76470588235294
10257,11618,-43.0
12758,11292,-37.5
13830,11292,-35.25
11066,12191,-32.714285714285715
11618,10257,-32.0
13871,14679,-31.6
12953,13485,-31.5
12953,14683,-30.5
14698,14747,-30.46153846153846
13930,10372,-30.333333333333332
10372,12266,-30.333333333333332
14570,13232,-30.25
13495,14307,-30.076923076923077
14685,12266,-29.096774193548388
11292,12896,-29.0
13830,13930,-28.5
14027,12266,-28.466666666666665
10469,13930,-28.0
14869,10423,-27.745454545454546
12478,12191,-27.133333333333333
12173,13487,-27.095238095238095
11042,13303,-27.076923076923077
14831,11057,-27.0
14057,13851,-27.0
11193,11618,-27.0
12173,14869,-26.766666666666666
13931,12264,-26.75
10821,14683,-26.686567164179106
14869,12264,-26.666666666666668
14679,13871,-26.4
10165,10299,-26.25
11618,10994,-26.228070175438596
11057,13871,-26.0
14108,13487,-26.0
14107,10299,-25.642857142857142
12953,15919,-25.333333333333332
13342,13303,-25.1
11278,12953,-24.75
13342,12266,-24.607843137254903
13487,12451,-24.4375
14122,13577,-24.2
12953,12266,-24.087962962962962
13577,11298,-24.0
13232,14193,-24.0
10994,14100,-24.0
14492,12266,-23.586206896551722
14747,14698,-23.46153846153846
14570,13930,-23.333333333333332
10721,12266,-23.23008849557522
10529,13577,-23.0
11721,13204,-23.0
12889,10874,-22.666666666666668
12264,14683,-22.53191489361702
13487,13495,-22.428571428571427
10821,10423,-22.32758620689655
10299,10165,-22.25
10785,10397,-22.103448275862068
13830,14679,-22.1
13367,11292,-22.08
13930,10469,-22.0
10372,13930,-22.0
10713,11298,-21.866666666666667
14057,12264,-21.862068965517242
12478,14262,-21.823529411764707
13577,10529,-21.8
11603,11292,-21.551724137931036
14747,15304,-21.5
12451,13930,-21.5
11042,12266,-21.443037974683545
14869,14100,-21.44
14747,12339,-21.4
12173,13930,-21.266666666666666
12478,10800,-21.233333333333334
12173,10397,-21.2
11146,12266,-21.03448275862069
11423,11618,-21.0
10849,14057,-21.0
13933,13204,-20.933333333333334
14869,11193,-20.804878048780488
14869,15016,-20.755102040816325
11433,12217,-20.73076923076923
11618,14683,-20.714285714285715
14869,13485,-20.68
11109,14107,-20.666666666666668
13487,12478,-20.60683760683761
12898,13577,-20.6
12953,11298,-20.560344827586206
11292,11111,-20.5
12953,12191,-20.40740740740741
12982,14107,-20.347826086956523
13487,15096,-20.285714285714285
14869,13198,-20.26086956521739
13830,14107,-20.21875
10397,10158,-20.2
10158,10397,-20.2
13487,10423,-20.185714285714287
12478,11252,-20.133333333333333
13198,12266,-20.09375
13871,12266,-20.029411764705884
13577,14122,-20.0
14307,14027,-20.0
11577,13930,-20.0
12478,10423,-19.980263157894736
14869,10821,-19.976190476190474
12391,14635,-19.833333333333332
12402,12892,-19.8
10821,10140,-19.733333333333334
10721,12191,-19.677419354838708
12892,11433,-19.65934065934066
14679,13487,-19.651162790697676
12478,11298,-19.64516129032258
14869,14492,-19.576923076923077
11986,12266,-19.56
14869,10721,-19.416666666666668
14057,10423,-19.413793103448278
14869,10140,-19.4
14057,13487,-19.342105263157894
13495,14122,-19.333333333333332
14730,14107,-19.333333333333332
11433,10423,-19.329113924050635
11278,12266,-19.304761904761904
11292,14524,-19.3
14057,13204,-19.266666666666666
12954,14107,-19.25
12982,14057,-19.2
14869,13871,-19.183673469387756
14635,12391,-19.166666666666668
14635,13871,-19.11111111111111
12982,14747,-19.089285714285715
14057,12478,-19.03370786516854
11618,12945,-19.0
13871,14635,-19.0
11481,15016,-19.0
14679,12264,-18.98780487804878
10140,13487,-18.91304347826087
13264,11292,-18.9
13796,13930,-18.875
13184,13487,-18.85185185185185
11503,11298,-18.82758620689655
13487,13244,-18.82758620689655
14100,13577,-18.8
10721,11259,-18.8
15412,12266,-18.764705882352942
14321,11057,-18.75862068965517
12889,10529,-18.75
12173,12266,-18.733333333333334
10693,13342,-18.666666666666668
12478,13495,-18.641304347826086
10874,13577,-18.6
13577,12898,-18.6
14570,14747,-18.596153846153847
11697,12264,-18.56179775280899
11996,12266,-18.54901960784314
12266,12206,-18.5
12945,12266,-18.482758620689655
15376,14831,-18.466666666666665
13487,14520,-18.46551724137931
12264,10423,-18.444444444444443
13577,10874,-18.4
10721,11298,-18.346320346320347
11292,11003,-18.333333333333332
14869,11278,-18.3
12892,13851,-18.275862068965516
10713,13930,-18.21311475409836
14570,11259,-18.2
15991,12523,-18.17241379310345
12889,13487,-18.16289592760181
14893,13232,-18.0625
13204,11721,-18.0
12265,11697,-18.0
12953,14696,-18.0
13487,10529,-17.98701298701299
14893,12264,-17.96551724137931
10257,10397,-17.95294117647059
10821,12191,-17.941176470588236
12889,11775,-17.875
11278,11259,-17.86842105263158
13830,14893,-17.8
14524,11292,-17.79310344827586
10693,10423,-17.78125
11884,13487,-17.75862068965517
14869,11298,-17.730215827338128
14122,12191,-17.64864864864865
11433,11259,-17.633333333333333
14869,14683,-17.62962962962963
10397,13296,-17.620689655172413
14831,13487,-17.580645161290324
10821,13577,-17.571428571428573
11259,12206,-17.571428571428573
14893,13930,-17.548780487804876
13127,14869,-17.509090909090908
12892,13487,-17.505836575875488
14831,15376,-17.5
11618,10423,-17.49264705882353
14100,10423,-17.49056603773585
12953,11259,-17.473684210526315
10821,11259,-17.47008547008547
11057,12191,-17.466666666666665
13577,10821,-17.428571428571427
10792,11697,-17.344827586206897
12451,12191,-17.324324324324323
10821,13244,-17.324324324324323
12478,10140,-17.26086956521739
12264,13495,-17.25925925925926
12945,11618,-17.25
12451,13487,-17.25
10299,11292,-17.233333333333334
12217,12266,-17.178571428571427
12898,15304,-17.11111111111111
14122,11433,-17.104166666666668
14747,10423,-17.00952380952381
15016,11481,-17.0
14057,11278,-17.0
10666,13830,-17.0
13198,10423,-17.0
13487,10140,-16.956521739130434
13303,12892,-16.93723849372385
12953,10599,-16.9
14689,11292,-16.85
