OriginAirportID,DestAirportID,Delay
13871,14679,-55.25
10994,11042,-45.5
13204,14057,-38.25806451612903
14747,12339,-31.967741935483872
13486,10397,-31.333333333333332
12953,13296,-31.0
12003,13930,-29.833333333333332
12982,11292,-28.5
11618,10299,-28.25
15376,14831,-27.333333333333332
12264,14683,-25.5
10980,11433,-25.0
10299,11618,-25.0
14831,15376,-24.75
11292,12982,-24.5
12264,14869,-24.32
14107,12264,-23.870967741935484
11618,10821,-23.5
11042,10994,-23.5
12953,13931,-23.5
14683,11618,-23.26923076923077
13930,13830,-21.75
14679,11042,-21.647058823529413
10140,13487,-21.275862068965516
12953,10431,-21.0
14843,11042,-21.0
12992,11433,-20.8
11042,12264,-20.5
13198,11618,-20.5
10874,13204,-19.93548387096774
13487,12129,-19.85185185185185
14893,13830,-19.516129032258064
12982,14747,-19.3953488372093
14747,10994,-18.647058823529413
10990,12953,-18.545454545454547
11122,14869,-18.181818181818183
14747,15304,-18.06451612903226
14893,12264,-18.06451612903226
14570,13487,-18.0
14893,12173,-17.774193548387096
13796,12758,-17.75862068965517
13930,10299,-17.731182795698924
14794,14107,-17.661290322580644
12339,14747,-17.580645161290324
11292,14524,-17.35483870967742
12173,14869,-17.322580645161292
13029,10397,-17.272727272727273
10821,11618,-17.0
13830,11298,-16.977777777777778
14869,12173,-16.70967741935484
14683,12478,-16.64516129032258
10849,12892,-16.558823529411764
12173,10397,-16.516129032258064
13485,12889,-16.375
10299,10397,-16.258064516129032
13487,14893,-16.210526315789473
13487,12441,-16.08823529411765
14321,11433,-16.0
13830,11292,-16.0
13459,13487,-15.516129032258064
12173,12264,-15.5
11697,10874,-15.375
11336,10299,-15.346153846153847
13342,14057,-15.307692307692308
11618,10849,-15.3
14831,12982,-15.277777777777779
14679,12264,-15.13978494623656
12758,14107,-15.12
13930,12173,-15.064516129032258
14635,12266,-15.06060606060606
11648,12892,-15.0
12892,11648,-15.0
13487,14520,-14.96774193548387
12478,10581,-14.954545454545455
10140,10397,-14.924731182795698
15027,10397,-14.833333333333334
14679,13830,-14.516129032258064
13487,13303,-14.5
13244,13930,-14.470588235294118
14869,14492,-14.407407407407407
14150,10333,-14.347826086956522
11278,14321,-14.333333333333334
13487,14570,-14.333333333333334
12889,13244,-14.3
11042,14679,-14.235294117647058
