OriginAirportID,DestAirportID,Delay
12478,14100,-36.0
15096,11697,-33.0
12264,14730,-30.0
13851,13487,-29.0
14679,12758,-28.153846153846153
13851,14747,-27.096774193548388
15024,12266,-26.0
14576,13487,-26.0
14683,11618,-25.258064516129032
12953,14492,-25.0
10140,13204,-24.5
12173,10397,-24.29032258064516
11042,14057,-23.785714285714285
12953,14122,-23.5
12478,12173,-23.225806451612904
14122,14771,-23.0
11618,13851,-23.0
10721,14057,-22.942307692307693
12339,14771,-22.903225806451612
14747,12758,-22.82716049382716
14576,13204,-22.419354838709676
11278,14747,-22.29032258064516
10994,14747,-21.72222222222222
11697,15096,-21.0
12389,13487,-20.868852459016395
12478,14747,-20.783410138248847
11618,14057,-20.774193548387096
12889,12451,-20.25
11278,14057,-20.0
13930,13830,-20.0
11433,12451,-20.0
15304,14747,-19.967741935483872
11618,14747,-19.965034965034967
13830,11298,-19.80952380952381
13871,14747,-19.78125
12264,14747,-19.583333333333332
13495,14747,-19.548387096774192
12402,12892,-19.227272727272727
14869,12173,-19.129032258064516
15356,11697,-19.0625
10721,11066,-19.0
12758,14107,-19.0
14908,11618,-18.892857142857142
14771,12758,-18.677419354838708
13184,11433,-18.333333333333332
13891,12266,-18.0
13502,11292,-17.967741935483872
12982,13796,-17.9375
11618,12173,-17.774193548387096
10785,11433,-17.72222222222222
14843,12264,-17.444444444444443
10581,11433,-17.428571428571427
13485,14869,-17.285714285714285
14747,11433,-17.16374269005848
10713,14893,-17.11111111111111
12478,13487,-16.982456140350877
11003,13487,-16.758064516129032
12478,14893,-16.741935483870968
13871,13204,-16.5
14057,13830,-16.163265306122447
13930,12173,-16.161290322580644
13204,14747,-16.0752688172043
11618,10529,-16.0
10792,14107,-15.96774193548387
14747,12982,-15.9375
14254,13204,-15.904761904761905
14747,13495,-15.838709677419354
14489,14869,-15.666666666666666
11097,11292,-15.615384615384615
15356,14635,-15.615384615384615
13487,14262,-15.38888888888889
14107,10792,-15.35483870967742
14747,12173,-15.335526315789474
13198,13303,-15.307692307692308
10821,14771,-15.290322580645162
13871,14057,-15.258064516129032
12478,10140,-15.233333333333333
14100,10529,-15.2
12173,12264,-15.1
10721,14747,-15.073446327683616
10713,14057,-14.903225806451612
15376,14869,-14.868852459016393
11278,12889,-14.827586206896552
14747,14689,-14.806451612903226
14307,14635,-14.75
11109,10397,-14.703703703703704
10299,14869,-14.666666666666666
14709,10299,-14.666666666666666
12173,11618,-14.548387096774194
11618,10434,-14.5
12343,12129,-14.483870967741936
11292,11097,-14.481481481481481
10529,11618,-14.333333333333334
12945,11433,-14.25
13485,10397,-14.238636363636363
11292,10299,-14.225806451612904
11898,13487,-14.214285714285714
11278,10154,-14.166666666666666
10423,13303,-14.142857142857142
12982,14831,-14.117647058823529
14683,12478,-14.096774193548388
10299,12889,-14.076923076923077
11638,14057,-14.0
10529,14100,-14.0
14747,13204,-13.946236559139784
12478,14869,-13.84971098265896
12758,14747,-13.82716049382716
10469,11433,-13.796296296296296
12478,10800,-13.774193548387096
13487,11697,-13.76923076923077
11618,14908,-13.763157894736842
11648,14869,-13.704545454545455
10299,12173,-13.67741935483871
10994,14100,-13.666666666666666
11433,13184,-13.571428571428571
12264,13487,-13.555555555555555
12889,10666,-13.516129032258064
10529,12889,-13.516129032258064
12173,12266,-13.451612903225806
14262,13487,-13.444444444444445
11003,10397,-13.44186046511628
14747,10397,-13.395437262357415
14122,11292,-13.358695652173912
13296,11433,-13.30232558139535
14843,11042,-13.25
15370,13303,-13.25
15024,14100,-13.173913043478262
12519,11292,-13.153846153846153
12982,14747,-13.125
11603,14869,-13.125
10792,12889,-13.064516129032258
11433,10994,-13.035714285714286
11618,15919,-13.0
11292,11995,-13.0
14679,11433,-12.929824561403509
14869,10800,-12.813953488372093
13796,12982,-12.8125
10666,12173,-12.76923076923077
15027,10397,-12.75
11292,12888,-12.735849056603774
14696,11618,-12.733333333333333
12478,12954,-12.73015873015873
14679,10397,-12.71584699453552
11775,10397,-12.703703703703704
13485,13487,-12.632183908045977
14683,11433,-12.612903225806452
14689,14747,-12.580645161290322
14747,14869,-12.5625
13487,13486,-12.551020408163266
12992,11433,-12.52
10581,12953,-12.517241379310345
11618,13577,-12.434782608695652
14107,14588,-12.419354838709678
14679,12264,-12.352272727272727
14679,10821,-12.327868852459016
10140,14771,-12.32258064516129
14679,12478,-12.30167597765363
14057,11278,-12.258064516129032
14057,10397,-12.25
14262,14057,-12.242424242424242
12003,14869,-12.238095238095237
12129,12343,-12.225806451612904
11618,12889,-12.223175965665236
10792,15304,-12.192982456140351
14683,13303,-12.185185185185185
10140,14747,-12.161290322580646
11447,12519,-12.153846153846153
12343,13487,-12.045454545454545
12478,14057,-12.045454545454545
10299,10165,-12.0
14635,11292,-12.0
12266,15024,-12.0
13433,11292,-11.964912280701755
14698,14107,-11.95774647887324
15024,10397,-11.925373134328359
10529,14635,-11.852941176470589
14869,10397,-11.728744939271255
11618,13495,-11.710843373493976
13487,14520,-11.709677419354838
15024,11697,-11.67741935483871
14107,12264,-11.64516129032258
12264,14679,-11.626373626373626
13851,14771,-11.612903225806452
13076,13487,-11.586206896551724
12173,11292,-11.580645161290322
11884,14869,-11.525862068965518
14321,11278,-11.5
12156,11292,-11.483870967741936
15027,14843,-11.483870967741936
12892,12402,-11.454545454545455
14107,10397,-11.423780487804878
13367,11292,-11.394736842105264
13198,13495,-11.387096774193548
11433,14679,-11.385964912280702
12478,11433,-11.375
11278,14100,-11.363636363636363
13851,11618,-11.333333333333334
13487,12389,-11.295081967213115
11433,14747,-11.292397660818713
14869,13495,-11.290322580645162
10434,10397,-11.290322580645162
13891,13232,-11.290322580645162
14869,15376,-11.278688524590164
11697,15024,-11.258064516129032
12898,13577,-11.225806451612904
14869,14492,-11.225806451612904
12173,14869,-11.225806451612904
11042,13342,-11.142857142857142
14747,13486,-11.129032258064516
14679,11618,-11.10989010989011
10994,11057,-11.037037037037036
10821,13244,-11.03225806451613
13487,13495,-11.03225806451613
14730,12264,-11.0
10721,14893,-11.0
11433,14869,-10.96774193548387
11193,14869,-10.96774193548387
14107,11638,-10.93939393939394
12992,10397,-10.913875598086124
11066,14635,-10.903225806451612
13930,12217,-10.875
11193,15919,-10.863636363636363
14122,14635,-10.857142857142858
11057,14057,-10.851851851851851
12478,11292,-10.817204301075268
10165,10299,-10.777777777777779
13204,14771,-10.77659574468085
10397,14321,-10.766666666666667
14254,12478,-10.741935483870968
14683,14771,-10.741935483870968
10747,12266,-10.715328467153284
12758,14771,-10.709677419354838
14869,10721,-10.688172043010752
13930,10469,-10.685393258426966
12889,11278,-10.655172413793103
11278,13871,-10.64516129032258
14831,12758,-10.642857142857142
15991,12523,-10.566666666666666
12266,14843,-10.565217391304348
14057,11259,-10.483870967741936
12889,10299,-10.461538461538462
14747,14492,-10.451612903225806
14457,11292,-10.448275862068966
11778,11298,-10.428571428571429
12954,10423,-10.419354838709678
10792,13930,-10.347826086956522
14679,12982,-10.333333333333334
13487,14057,-10.305555555555555
12173,13930,-10.290322580645162
12478,14831,-10.290322580645162
14908,10423,-10.258064516129032
12451,12889,-10.25
12889,10397,-10.224096385542168
15024,10721,-10.2
11540,10397,-10.18918918918919
13487,10739,-10.132075471698114
14107,12278,-10.096774193548388
10141,13487,-10.096774193548388
10994,11433,-10.052631578947368
14679,10713,-10.03225806451613
11433,13931,-10.023809523809524
14122,11697,-10.015151515151516
12951,11298,-10.0
10397,15027,-10.0
13487,11423,-10.0
12953,11066,-9.952380952380953
10821,14747,-9.947368421052632
14122,13487,-9.931034482758621
11292,11865,-9.859649122807017
14747,13851,-9.838709677419354
10792,13487,-9.833333333333334
10397,12173,-9.806451612903226
11721,13487,-9.790123456790123
14683,13495,-9.774193548387096
12323,11057,-9.766666666666667
10800,14057,-9.735632183908047
14869,13485,-9.714285714285714
10577,11433,-9.694117647058823
15376,14057,-9.67741935483871
12478,14679,-9.653631284916202
14771,14492,-9.65
10693,14771,-9.62962962962963
13342,15016,-9.612903225806452
13796,13830,-9.612903225806452
13970,10299,-9.61111111111111
15096,11433,-9.6
10529,13303,-9.575757575757576
13244,12892,-9.56
13930,14193,-9.548387096774194
14122,11433,-9.485714285714286
14100,14869,-9.481481481481481
14869,13204,-9.459016393442623
13541,10721,-9.4
11049,12266,-9.388059701492537
14893,13830,-9.387096774193548
12889,10257,-9.387096774193548
14256,12523,-9.387096774193548
12892,14262,-9.32258064516129
14679,13830,-9.314285714285715
12339,11433,-9.310077519379846
11986,13930,-9.296703296703297
10257,11433,-9.296296296296296
11042,12889,-9.288659793814434
13487,12129,-9.283018867924529
