AirportID,Delay
10666,-12.9
13290,-12.0
15497,-11.689655172413794
10779,-10.696428571428571
14222,-10.538461538461538
11013,-9.339285714285714
11471,-8.714285714285714
13127,-8.666666666666666
10469,-8.436090225563909
12016,-7.6
11997,-6.64
14520,-6.476744186046512
10754,-6.3561643835616435
10551,-5.7875
12255,-5.51063829787234
11695,-5.3017751479289945
15841,-5.271186440677966
11097,-5.243697478991597
10333,-4.788461538461538
14150,-4.75
11865,-4.738095238095238
10170,-4.660714285714286
11525,-4.607142857142857
10631,-4.15
10141,-3.8333333333333335
14108,-3.806338028169014
12343,-3.5384615384615383
12335,-3.392857142857143
14006,-3.381818181818182
16218,-3.161676646706587
10926,-2.593220338983051
14113,-2.4390243902439024
13184,-2.2777777777777777
11122,-2.1333333333333333
10299,-2.064928425357873
10739,-1.9607843137254901
12523,-1.9544513457556936
11921,-1.8669064748201438
14709,-1.7945205479452055
11003,-1.4835443037974683
11413,-1.4636871508379887
14256,-1.423728813559322
12280,-1.1764705882352942
11577,-1.1666666666666667
14828,-1.1403508771929824
15991,-1.0338983050847457
13873,-1.0166666666666666
12156,-1.0
10154,-0.963963963963964
12888,-0.9411764705882353
11612,-0.8316831683168316
11587,-0.8297872340425532
12397,-0.5058823529411764
14487,-0.34444444444444444
11537,-0.2827586206896552
13344,-0.16363636363636364
13459,-0.05084745762711865
13541,0.08333333333333333
13486,0.16279069767441862
10577,0.19767441860465115
11433,0.2275649986021806
12402,0.25098039215686274
12819,0.2595419847328244
11049,0.3983050847457627
13502,0.4482758620689655
10408,0.453125
13970,0.5423728813559322
11721,0.5753424657534246
14588,0.6176470588235294
15041,0.673469387755102
10849,0.9209809264305178
12982,0.9571167883211679
12278,0.9766277128547579
14905,1.0
13476,1.0452261306532664
13029,1.0610687022900764
10372,1.1349480968858132
10157,1.1652173913043478
13076,1.173913043478261
15897,1.2156862745098038
12884,1.2731277533039647
11641,1.297872340425532
15380,1.3526970954356847
10434,1.3944954128440368
12389,1.5902777777777777
11630,1.7311827956989247
