OriginAirportID,DestAirportID,Delay
12889,10299,-46.357142857142854
12758,11292,-45.125
12953,13244,-39.0
12173,14869,-37.70967741935484
12758,14679,-35.642857142857146
12173,11292,-34.41935483870968
12173,12264,-33.888888888888886
12173,13487,-32.607142857142854
12953,13502,-31.2
11995,11292,-29.666666666666668
11537,10397,-29.666666666666668
10721,14057,-29.258064516129032
11637,10397,-29.0
11278,14747,-28.516129032258064
13204,13871,-28.25
12892,10299,-27.93548387096774
12173,10666,-27.8
15304,14747,-27.548387096774192
12264,14683,-27.0
14122,14771,-27.0
12402,12892,-27.0
12173,12266,-26.06451612903226
13830,11292,-26.05
13830,13796,-26.0
10299,13830,-25.11764705882353
13830,13930,-25.0
14122,11259,-24.903225806451612
14635,10792,-24.875
10721,10423,-24.844827586206897
14107,10299,-24.772727272727273
12339,14771,-24.62962962962963
10785,11433,-24.6
10299,12758,-24.6
10721,14831,-24.25
10994,14747,-24.22222222222222
13830,14831,-24.12962962962963
14100,12478,-24.0
14524,12478,-24.0
11618,15919,-24.0
11292,10299,-23.914285714285715
12758,14107,-23.8
12982,14831,-23.77777777777778
15356,15497,-23.666666666666668
12758,10299,-23.1
12264,10423,-23.0
14711,10397,-23.0
12264,14057,-23.0
12982,14107,-22.96875
11618,14679,-22.95294117647059
14843,11433,-22.6
11433,14986,-22.375
13830,14679,-22.25
11603,12892,-22.0
13930,13502,-22.0
12982,14771,-21.944444444444443
11433,14843,-21.6
13851,14747,-21.387096774193548
13830,14771,-21.012422360248447
11292,11995,-21.0
10821,14100,-21.0
12266,14570,-21.0
13367,11292,-21.0
12264,14679,-20.988505747126435
13830,10666,-20.823529411764707
10821,10140,-20.806451612903224
10926,10299,-20.633333333333333
14100,11292,-20.62162162162162
13502,12953,-20.4
13198,14057,-20.258064516129032
12982,14747,-20.177419354838708
13388,11292,-20.0
15412,11292,-20.0
15497,15356,-20.0
12173,11298,-19.89830508474576
15370,14869,-19.88888888888889
10721,12266,-19.849206349206348
12173,10397,-19.838709677419356
15991,10926,-19.833333333333332
12173,13930,-19.741935483870968
12264,14747,-19.66304347826087
11618,14908,-19.64814814814815
10874,12889,-19.612903225806452
14492,14771,-19.566666666666666
12264,12094,-19.5
14100,14869,-19.416666666666668
14100,14679,-19.415384615384614
12389,12266,-19.27777777777778
12819,12523,-19.258064516129032
15016,14747,-19.096774193548388
14747,10299,-19.095634095634097
14570,12266,-19.0
12478,12441,-19.0
15991,12523,-18.966666666666665
10693,13796,-18.870967741935484
12173,14893,-18.838709677419356
10721,11066,-18.82
12478,14100,-18.75
10581,11433,-18.75
14747,14492,-18.70967741935484
10257,13487,-18.666666666666668
14635,14307,-18.5
12266,14831,-18.428571428571427
13487,10140,-18.333333333333332
12982,14679,-18.23076923076923
12173,13796,-18.181818181818183
14747,13851,-18.129032258064516
12982,14057,-18.055555555555557
11292,11097,-18.0
12758,14057,-17.93548387096774
14747,11630,-17.892857142857142
14256,15841,-17.870967741935484
10821,14747,-17.806451612903224
14057,10299,-17.774647887323944
10721,13342,-17.755102040816325
13232,14683,-17.618181818181817
10693,14679,-17.612903225806452
12451,11292,-17.516129032258064
11042,11292,-17.5
14747,10994,-17.444444444444443
11193,14747,-17.333333333333332
11278,12892,-17.29032258064516
